date_key,full_date,year,month,month_name,day,day_name,is_weekend
20250417,2025-04-17,2025,4,April,17,Thursday,False
20250418,2025-04-18,2025,4,April,18,Friday,False
20250419,2025-04-19,2025,4,April,19,Saturday,True
20250420,2025-04-20,2025,4,April,20,Sunday,True
20250421,2025-04-21,2025,4,April,21,Monday,False
20250422,2025-04-22,2025,4,April,22,Tuesday,False
20250423,2025-04-23,2025,4,April,23,Wednesday,False
20250424,2025-04-24,2025,4,April,24,Thursday,False
20250425,2025-04-25,2025,4,April,25,Friday,False
20250426,2025-04-26,2025,4,April,26,Saturday,True
20250427,2025-04-27,2025,4,April,27,Sunday,True
20250428,2025-04-28,2025,4,April,28,Monday,False
20250429,2025-04-29,2025,4,April,29,Tuesday,False
20250430,2025-04-30,2025,4,April,30,Wednesday,False
20250501,2025-05-01,2025,5,May,1,Thursday,False
20250502,2025-05-02,2025,5,May,2,Friday,False
20250503,2025-05-03,2025,5,May,3,Saturday,True
20250504,2025-05-04,2025,5,May,4,Sunday,True
20250505,2025-05-05,2025,5,May,5,Monday,False
20250506,2025-05-06,2025,5,May,6,Tuesday,False
20250507,2025-05-07,2025,5,May,7,Wednesday,False
20250508,2025-05-08,2025,5,May,8,Thursday,False
20250509,2025-05-09,2025,5,May,9,Friday,False
20250510,2025-05-10,2025,5,May,10,Saturday,True
20250511,2025-05-11,2025,5,May,11,Sunday,True
20250512,2025-05-12,2025,5,May,12,Monday,False
20250513,2025-05-13,2025,5,May,13,Tuesday,False
20250514,2025-05-14,2025,5,May,14,Wednesday,False
20250515,2025-05-15,2025,5,May,15,Thursday,False
20250516,2025-05-16,2025,5,May,16,Friday,False
20250517,2025-05-17,2025,5,May,17,Saturday,True
20250518,2025-05-18,2025,5,May,18,Sunday,True
20250519,2025-05-19,2025,5,May,19,Monday,False
20250520,2025-05-20,2025,5,May,20,Tuesday,False
20250521,2025-05-21,2025,5,May,21,Wednesday,False
20250522,2025-05-22,2025,5,May,22,Thursday,False
20250523,2025-05-23,2025,5,May,23,Friday,False
20250524,2025-05-24,2025,5,May,24,Saturday,True
20250525,2025-05-25,2025,5,May,25,Sunday,True
20250526,2025-05-26,2025,5,May,26,Monday,False
20250527,2025-05-27,2025,5,May,27,Tuesday,False
20250528,2025-05-28,2025,5,May,28,Wednesday,False
20250529,2025-05-29,2025,5,May,29,Thursday,False
20250531,2025-05-31,2025,5,May,31,Saturday,True
20250601,2025-06-01,2025,6,June,1,Sunday,True
20250602,2025-06-02,2025,6,June,2,Monday,False
20250603,2025-06-03,2025,6,June,3,Tuesday,False
20250604,2025-06-04,2025,6,June,4,Wednesday,False
20250605,2025-06-05,2025,6,June,5,Thursday,False
20250606,2025-06-06,2025,6,June,6,Friday,False
20250607,2025-06-07,2025,6,June,7,Saturday,True
20250608,2025-06-08,2025,6,June,8,Sunday,True
20250609,2025-06-09,2025,6,June,9,Monday,False
20250610,2025-06-10,2025,6,June,10,Tuesday,False
20250611,2025-06-11,2025,6,June,11,Wednesday,False
20250612,2025-06-12,2025,6,June,12,Thursday,False
20250613,2025-06-13,2025,6,June,13,Friday,False
20250614,2025-06-14,2025,6,June,14,Saturday,True
20250615,2025-06-15,2025,6,June,15,Sunday,True
