payment_id,booking_id,route_key,airline_key,payment_method,amount,is_amount_imputed
PAY1000,B1116,8,2,NETBANKING,9883.49,False
PAY1001,B1738,2,3,NETBANKING,8457.96,False
PAY1002,B1873,4,2,UPI,6495.37,False
PAY1003,B1914,15,4,NETBANKING,5079.38,False
PAY1004,B1967,14,1,CARD,12518.31,False
PAY1005,B1998,23,2,CARD,7319.71,False
PAY1006,B1544,29,1,CARD,8020.26,False
PAY1007,B1043,12,2,UPI,8291.6,False
PAY1008,B1508,24,1,CARD,7277.14,False
PAY1009,B1987,4,2,CARD,4585.24,False
PAY1010,B1164,21,2,UPI,2684.77,False
PAY1011,B1367,5,4,CARD,2379.52,False
PAY1012,B1856,19,4,CARD,11604.48,False
PAY1013,B1291,29,3,NETBANKING,4129.39,False
PAY1014,B1848,7,3,UPI,1779.42,False
PAY1015,B1855,26,2,CARD,12165.24,False
PAY1016,B1916,20,1,CARD,3156.86,False
PAY1017,B1897,24,2,CARD,9752.05,False
PAY1018,B1798,29,4,CARD,8027.12,True
PAY1019,B1875,23,2,NETBANKING,8027.12,True
PAY1020,B1736,9,3,NETBANKING,6802.73,False
PAY1021,B1285,23,4,NETBANKING,1207.32,False
PAY1022,B1203,15,4,NETBANKING,12774.63,False
PAY1023,B1683,6,1,UPI,8188.97,False
PAY1024,B1523,23,3,CARD,8027.12,True
PAY1025,B1818,12,1,NETBANKING,4317.72,False
PAY1026,B1120,28,3,CARD,8027.12,True
PAY1027,B1944,12,3,UPI,3644.17,False
PAY1028,B1755,4,1,CARD,4760.39,False
PAY1029,B1663,18,1,CARD,8481.4,False
PAY1030,B1663,18,1,NETBANKING,12656.53,False
PAY1031,B1187,13,4,NETBANKING,6625.76,False
PAY1032,B1906,9,1,UPI,11037.65,False
PAY1033,B1012,8,1,CARD,8027.12,True
PAY1034,B1602,13,2,NETBANKING,4028.21,False
PAY1035,B1199,23,3,NETBANKING,12300.69,False
PAY1036,B1585,6,2,NETBANKING,11603.63,False
PAY1037,B1767,10,1,UPI,5997.12,False
PAY1038,B1455,1,1,CARD,14853.28,False
PAY1039,B1447,3,3,NETBANKING,4676.01,False
PAY1040,B1787,24,1,CARD,4567.25,False
PAY1041,B1839,23,3,UPI,11811.63,False
PAY1042,B1840,23,3,CARD,7085.2,False
PAY1043,B1070,3,3,NETBANKING,5631.13,False
PAY1044,B1589,28,4,CARD,3501.28,False
PAY1045,B1795,6,4,CARD,11714.65,False
PAY1046,B1129,9,1,UPI,12008.51,False
PAY1047,B1888,28,2,UPI,8931.9,False
PAY1048,B1042,12,4,CARD,14402.39,False
PAY1049,B1519,12,3,CARD,5454.29,False
PAY1050,B1012,8,1,CARD,4074.67,False
PAY1051,B1724,20,2,UPI,10484.53,False
PAY1052,B1622,16,3,UPI,11617.72,False
PAY1053,B1987,4,2,CARD,4148.68,False
PAY1054,B1802,21,1,UPI,2072.55,False
PAY1055,B1534,12,4,NETBANKING,12347.23,False
PAY1056,B1301,23,1,UPI,14671.03,False
PAY1057,B1765,14,3,UPI,10025.41,False
PAY1058,B1526,24,3,UPI,4890.14,False
PAY1059,B1641,15,4,NETBANKING,14953.42,False
PAY1060,B1572,2,4,NETBANKING,8027.12,True
PAY1061,B1114,4,2,NETBANKING,8187.33,False
PAY1062,B1459,17,3,CARD,12554.5,False
PAY1063,B1831,23,2,CARD,12421.49,False
PAY1064,B1504,24,3,NETBANKING,14087.19,False
PAY1065,B1307,5,4,CARD,12772.93,False
PAY1066,B1931,10,3,CARD,10011.51,False
PAY1067,B1962,27,3,CARD,9530.25,False
PAY1068,B1324,25,1,NETBANKING,7543.0,False
PAY1069,B1578,17,1,UPI,8027.12,True
PAY1070,B1760,2,4,NETBANKING,12133.03,False
PAY1071,B1174,13,2,NETBANKING,8027.12,True
PAY1072,B1850,13,2,CARD,7542.02,False
PAY1073,B1513,4,4,CARD,9031.14,False
PAY1074,B1171,14,4,UPI,7227.28,False
PAY1075,B1996,2,4,UPI,10358.84,False
PAY1076,B1959,2,1,UPI,9818.89,False
PAY1077,B1501,28,3,UPI,8027.12,True
PAY1078,B1976,14,1,NETBANKING,8576.26,False
PAY1079,B1333,6,4,UPI,2238.82,False
PAY1080,B1283,6,1,NETBANKING,1369.37,False
PAY1081,B1474,5,3,CARD,12076.76,False
PAY1082,B1053,19,4,UPI,4621.1,False
PAY1083,B1457,27,2,CARD,5769.17,False
PAY1084,B1578,17,1,CARD,1897.18,False
PAY1085,B1419,29,3,NETBANKING,3513.0,False
PAY1086,B1613,6,3,UPI,11718.47,False
PAY1087,B1631,29,4,NETBANKING,7909.43,False
PAY1088,B1702,15,4,CARD,13329.36,False
PAY1089,B1408,12,3,UPI,6561.39,False
PAY1090,B1981,5,1,CARD,4761.81,False
PAY1091,B1303,29,1,CARD,5866.4,False
PAY1092,B1934,21,4,UPI,10978.81,False
PAY1093,B1558,11,1,UPI,8770.08,False
PAY1094,B1221,12,1,UPI,13658.68,False
PAY1095,B1532,24,4,NETBANKING,9430.36,False
PAY1096,B1157,21,3,NETBANKING,7902.25,False
PAY1097,B1347,14,2,CARD,12000.54,False
PAY1098,B1158,8,2,UPI,14265.47,False
PAY1099,B1888,28,2,CARD,5981.84,False
PAY1100,B1883,12,1,CARD,4498.27,False
PAY1101,B1921,5,3,CARD,9627.04,False
PAY1102,B1234,18,4,CARD,7984.22,False
PAY1103,B1661,21,4,CARD,14848.6,False
PAY1104,B1404,23,2,UPI,7473.06,False
PAY1105,B1256,30,2,NETBANKING,2040.64,False
PAY1106,B1676,2,1,UPI,14683.17,False
PAY1107,B1588,10,3,UPI,12810.22,False
PAY1108,B1596,15,3,UPI,3495.5,False
PAY1109,B1557,23,2,NETBANKING,13664.47,False
PAY1110,B1904,2,4,NETBANKING,5769.34,False
PAY1111,B1912,17,2,NETBANKING,6279.57,False
PAY1112,B1046,14,4,UPI,13689.48,False
PAY1113,B1212,1,2,NETBANKING,8421.62,False
PAY1114,B1478,3,3,CARD,2928.68,False
PAY1115,B1486,16,1,NETBANKING,6166.79,False
PAY1116,B1570,5,4,UPI,11109.36,False
PAY1117,B1565,6,1,UPI,3438.58,False
PAY1118,B1341,17,2,CARD,9263.24,False
PAY1119,B1523,23,3,NETBANKING,10733.84,False
PAY1120,B1703,4,2,NETBANKING,5813.95,False
PAY1121,B1502,20,1,CARD,10714.33,False
PAY1122,B1005,12,1,UPI,13378.9,False
PAY1123,B1820,21,2,UPI,7609.63,False
PAY1124,B1143,18,2,NETBANKING,6360.73,False
PAY1125,B1857,23,1,NETBANKING,4516.22,False
PAY1126,B1260,12,1,NETBANKING,9458.88,False
PAY1127,B1584,21,4,NETBANKING,13317.93,False
PAY1128,B1685,12,3,NETBANKING,5545.26,False
PAY1129,B1231,19,4,UPI,6547.3,False
PAY1130,B1269,7,2,UPI,6692.76,False
PAY1131,B1939,23,3,UPI,8851.37,False
PAY1132,B1446,15,4,UPI,4197.73,False
PAY1133,B1873,4,2,CARD,12510.96,False
PAY1134,B1221,12,1,UPI,5138.43,False
PAY1135,B1051,15,2,CARD,10875.08,False
PAY1136,B1115,13,1,UPI,8185.02,False
PAY1137,B1537,8,4,NETBANKING,9202.57,False
PAY1138,B1564,16,1,NETBANKING,3514.52,False
PAY1139,B1876,25,2,NETBANKING,11290.32,False
PAY1140,B1540,18,1,CARD,3640.69,False
PAY1141,B1018,1,2,UPI,2588.63,False
PAY1142,B1814,13,4,UPI,8653.51,False
PAY1143,B1391,14,3,CARD,10930.16,False
PAY1144,B1790,1,2,CARD,1700.5,False
PAY1145,B1628,23,2,CARD,1971.53,False
PAY1146,B1617,12,1,CARD,12237.51,False
PAY1147,B1418,16,3,CARD,12326.46,False
PAY1148,B1990,24,3,NETBANKING,4434.27,False
PAY1149,B1308,13,4,UPI,9613.19,False
PAY1150,B1738,2,3,CARD,7204.52,False
PAY1151,B1863,5,4,NETBANKING,9857.74,False
PAY1152,B1185,2,3,CARD,13080.31,False
PAY1153,B1260,12,1,NETBANKING,2117.99,False
PAY1154,B1527,10,1,CARD,11891.78,False
PAY1155,B1272,26,1,UPI,7902.41,False
PAY1156,B1159,4,4,CARD,8897.78,False
PAY1157,B1869,7,4,CARD,10155.04,False
PAY1158,B1761,6,1,UPI,13916.72,False
PAY1159,B1223,16,2,UPI,1794.08,False
PAY1160,B1255,7,4,CARD,1412.67,False
PAY1161,B1179,4,3,UPI,3495.66,False
PAY1162,B1019,6,2,UPI,14810.27,False
PAY1163,B1623,18,1,NETBANKING,11011.07,False
PAY1164,B1631,29,4,UPI,9604.98,False
PAY1165,B1705,7,4,UPI,1658.55,False
PAY1166,B1467,6,4,CARD,13307.54,False
PAY1167,B1622,16,3,CARD,12378.6,False
PAY1168,B1209,6,1,NETBANKING,10307.2,False
PAY1169,B1512,4,4,CARD,5747.83,False
PAY1170,B1057,17,3,UPI,1987.07,False
PAY1171,B1092,6,4,UPI,9120.54,False
PAY1172,B1220,2,2,UPI,11075.72,False
PAY1173,B1722,20,1,CARD,8027.12,True
PAY1174,B1939,23,3,UPI,9872.75,False
PAY1175,B1231,19,4,UPI,5009.12,False
PAY1176,B1773,28,1,NETBANKING,11699.42,False
PAY1177,B1363,5,1,NETBANKING,8554.62,False
PAY1178,B1614,28,1,NETBANKING,2806.52,False
PAY1179,B1561,10,4,CARD,8371.27,False
PAY1180,B1373,21,3,UPI,6540.32,False
PAY1181,B1621,27,2,UPI,3524.98,False
PAY1182,B1455,1,1,UPI,12781.22,False
PAY1183,B1087,19,1,NETBANKING,1154.4,False
PAY1184,B1019,6,2,UPI,8027.12,True
PAY1185,B1013,16,3,UPI,1176.33,False
PAY1186,B1132,14,4,UPI,8027.12,True
PAY1187,B1936,15,3,UPI,5159.35,False
PAY1188,B1807,12,2,UPI,1759.8,False
PAY1189,B1033,14,4,CARD,9352.83,False
PAY1190,B1891,26,4,UPI,2216.08,False
PAY1191,B1207,2,1,CARD,10823.99,False
PAY1192,B1812,28,1,UPI,1736.99,False
PAY1193,B1198,7,3,CARD,1830.32,False
PAY1194,B1591,24,1,UPI,5274.56,False
PAY1195,B1582,25,4,UPI,13552.0,False
PAY1196,B1154,11,2,UPI,9979.51,False
PAY1197,B1589,28,4,UPI,11781.84,False
PAY1198,B1077,11,4,NETBANKING,2981.73,False
PAY1199,B1171,14,4,UPI,12677.76,False
PAY1200,B1288,2,2,CARD,1114.05,False
PAY1201,B1544,29,1,NETBANKING,3982.8,False
PAY1202,B1811,2,3,NETBANKING,9625.29,False
PAY1203,B1787,24,1,UPI,6253.45,False
PAY1204,B1878,4,3,CARD,14778.71,False
PAY1205,B1419,29,3,CARD,1424.75,False
PAY1206,B1006,8,1,NETBANKING,14980.37,False
PAY1207,B1159,4,4,CARD,8027.12,True
PAY1208,B1239,22,1,UPI,8821.9,False
PAY1209,B1962,27,3,UPI,1833.17,False
PAY1210,B1422,19,1,UPI,4826.6,False
PAY1211,B1988,4,2,UPI,13945.28,False
PAY1212,B1535,30,4,UPI,5959.44,False
PAY1213,B1725,28,1,NETBANKING,8027.12,True
PAY1214,B1069,2,4,UPI,14992.95,False
PAY1215,B1879,2,1,UPI,4682.98,False
PAY1216,B1215,6,1,NETBANKING,9065.13,False
PAY1217,B1103,25,1,NETBANKING,10750.13,False
PAY1218,B1726,28,1,NETBANKING,3304.78,False
PAY1219,B1053,19,4,CARD,3081.42,False
PAY1220,B1805,6,3,CARD,8027.12,True
PAY1221,B1329,14,4,UPI,6401.38,False
PAY1222,B1847,26,1,UPI,10999.02,False
PAY1223,B1202,7,4,UPI,1973.12,False
PAY1224,B1287,14,3,CARD,14610.33,False
PAY1225,B1044,4,2,UPI,1199.88,False
PAY1226,B1828,19,3,UPI,9418.44,False
PAY1227,B1197,14,4,CARD,8876.86,False
PAY1228,B1215,6,1,NETBANKING,2886.02,False
PAY1229,B1480,15,3,CARD,3112.82,False
PAY1230,B1308,13,4,UPI,12097.48,False
PAY1231,B1895,4,1,CARD,13425.87,False
PAY1232,B1434,2,1,NETBANKING,4962.24,False
PAY1233,B1331,14,1,NETBANKING,7131.5,False
PAY1234,B1695,23,2,NETBANKING,5969.93,False
PAY1235,B1026,2,1,NETBANKING,2015.66,False
PAY1236,B1165,2,1,NETBANKING,10424.86,False
PAY1237,B1317,24,3,NETBANKING,12552.7,False
PAY1238,B1273,8,1,UPI,5268.31,False
PAY1239,B1382,6,4,UPI,14862.46,False
PAY1240,B1364,4,1,CARD,2061.92,False
PAY1241,B1102,4,3,UPI,10265.07,False
PAY1242,B1959,2,1,NETBANKING,7275.19,False
PAY1243,B1502,20,1,UPI,7252.43,False
PAY1244,B1844,6,2,CARD,8027.12,True
PAY1245,B1372,8,3,NETBANKING,4621.54,False
PAY1246,B1615,12,2,UPI,11017.88,False
PAY1247,B1925,15,4,UPI,11102.07,False
PAY1248,B1244,13,4,CARD,4953.56,False
PAY1249,B1816,13,4,NETBANKING,8027.12,True
PAY1250,B1168,13,4,CARD,5435.83,False
PAY1251,B1627,3,4,NETBANKING,11151.3,False
PAY1252,B1652,26,2,NETBANKING,2694.0,False
PAY1253,B1417,13,1,UPI,3361.82,False
PAY1254,B1355,17,2,CARD,5421.14,False
PAY1255,B1477,12,3,CARD,9314.23,False
PAY1256,B1124,18,2,CARD,8027.12,True
PAY1257,B1536,24,1,NETBANKING,6548.99,False
PAY1258,B1705,7,4,CARD,2089.75,False
PAY1259,B1895,4,1,NETBANKING,6230.89,False
PAY1260,B1611,10,4,CARD,10642.75,False
PAY1261,B1401,19,4,CARD,10393.94,False
PAY1262,B1516,23,3,UPI,3242.75,False
PAY1263,B1530,16,4,CARD,1108.98,False
PAY1264,B1681,21,3,UPI,11541.74,False
PAY1265,B1785,28,2,UPI,2489.15,False
PAY1266,B1253,23,2,NETBANKING,2152.89,False
PAY1267,B1120,28,3,CARD,1037.82,False
PAY1268,B1031,4,1,CARD,7056.42,False
PAY1269,B1660,24,3,CARD,8027.12,True
PAY1270,B1777,12,2,UPI,9927.3,False
PAY1271,B1036,14,3,CARD,5144.89,False
PAY1272,B1688,2,1,NETBANKING,10945.95,False
PAY1273,B1341,17,2,NETBANKING,8027.12,True
PAY1274,B1012,8,1,CARD,12647.86,False
PAY1275,B1182,23,1,UPI,9005.88,False
PAY1276,B1656,17,4,NETBANKING,9174.46,False
PAY1277,B1264,2,3,NETBANKING,3936.86,False
PAY1278,B1087,19,1,UPI,2037.52,False
PAY1279,B1939,23,3,NETBANKING,7506.15,False
PAY1280,B1461,2,4,UPI,9618.57,False
PAY1281,B1045,16,3,NETBANKING,2330.65,False
PAY1282,B1391,14,3,UPI,14307.48,False
PAY1283,B1118,6,4,NETBANKING,8027.12,True
PAY1284,B1932,13,1,CARD,8636.39,False
PAY1285,B1530,16,4,NETBANKING,14300.97,False
PAY1286,B1446,15,4,NETBANKING,3512.23,False
PAY1287,B1731,13,2,CARD,1355.89,False
PAY1288,B1941,6,4,CARD,1551.73,False
PAY1289,B1744,27,4,CARD,9225.17,False
PAY1290,B1605,8,3,CARD,8027.12,True
PAY1291,B1966,1,4,UPI,14419.64,False
PAY1292,B1762,8,4,UPI,2987.06,False
PAY1293,B1761,6,1,NETBANKING,5266.12,False
PAY1294,B1793,13,3,NETBANKING,12515.25,False
PAY1295,B1743,12,2,NETBANKING,4062.36,False
PAY1296,B1045,16,3,UPI,4401.56,False
PAY1297,B1885,6,4,NETBANKING,9992.33,False
PAY1298,B1507,8,3,NETBANKING,4865.21,False
PAY1299,B1557,23,2,UPI,4044.27,False
PAY1300,B1970,4,2,NETBANKING,4558.49,False
PAY1301,B1525,20,1,UPI,7869.06,False
PAY1302,B1596,15,3,UPI,14525.4,False
PAY1303,B1830,26,2,CARD,12651.33,False
PAY1304,B1839,23,3,CARD,4984.54,False
PAY1305,B1002,1,3,UPI,6087.22,False
PAY1306,B1027,22,4,UPI,7503.17,False
PAY1307,B1380,14,2,CARD,14705.02,False
PAY1308,B1156,1,3,NETBANKING,3413.47,False
PAY1309,B1854,2,3,NETBANKING,6004.76,False
PAY1310,B1913,20,1,NETBANKING,11211.97,False
PAY1311,B1930,27,4,UPI,8027.12,True
PAY1312,B1510,10,1,CARD,3179.45,False
PAY1313,B1332,22,4,NETBANKING,4183.32,False
PAY1314,B1843,10,3,CARD,4159.73,False
PAY1315,B1686,7,4,CARD,1293.05,False
PAY1316,B1113,15,3,UPI,9457.62,False
PAY1317,B1388,14,2,NETBANKING,10389.84,False
PAY1318,B1486,16,1,CARD,9435.36,False
PAY1319,B1842,12,2,UPI,1998.52,False
PAY1320,B1249,14,2,UPI,1969.22,False
PAY1321,B1570,5,4,UPI,3945.41,False
PAY1322,B1714,3,2,NETBANKING,5064.12,False
PAY1323,B1314,2,1,NETBANKING,8027.12,True
PAY1324,B1238,12,3,UPI,3231.46,False
PAY1325,B1233,16,2,NETBANKING,1617.29,False
PAY1326,B1302,5,4,NETBANKING,6515.83,False
PAY1327,B1606,2,2,CARD,6829.49,False
PAY1328,B1990,24,3,UPI,8027.12,True
PAY1329,B1652,26,2,UPI,12576.65,False
PAY1330,B1333,6,4,NETBANKING,2372.08,False
PAY1331,B1112,12,2,UPI,10855.19,False
PAY1332,B1620,12,1,UPI,5731.24,False
PAY1333,B1361,2,1,UPI,5339.72,False
PAY1334,B1856,19,4,NETBANKING,14055.6,False
PAY1335,B1800,22,3,NETBANKING,4478.56,False
PAY1336,B1096,27,4,NETBANKING,9995.45,False
PAY1337,B1957,12,2,CARD,4851.79,False
PAY1338,B1846,26,4,UPI,8100.01,False
PAY1339,B1015,2,4,CARD,12008.1,False
PAY1340,B1555,7,3,NETBANKING,13344.12,False
PAY1341,B1953,25,1,CARD,12741.76,False
PAY1342,B1375,8,3,UPI,9150.53,False
PAY1343,B1741,10,1,UPI,4483.43,False
PAY1344,B1389,14,2,NETBANKING,8027.12,True
PAY1345,B1619,3,4,NETBANKING,10938.67,False
PAY1346,B1216,8,2,CARD,1149.69,False
PAY1347,B1398,9,2,NETBANKING,7148.95,False
PAY1348,B1259,18,3,CARD,12805.67,False
PAY1349,B1823,7,2,UPI,7854.23,False
PAY1350,B1319,18,2,UPI,5359.26,False
PAY1351,B1195,20,2,UPI,13205.17,False
PAY1352,B1477,12,3,UPI,3182.33,False
PAY1353,B1417,13,1,UPI,3890.23,False
PAY1354,B1474,5,3,CARD,10623.21,False
PAY1355,B1606,2,2,UPI,5934.1,False
PAY1356,B1567,13,3,CARD,10982.24,False
PAY1357,B1543,4,3,UPI,3207.85,False
PAY1358,B1230,8,2,CARD,4531.77,False
PAY1359,B1883,12,1,CARD,3193.06,False
PAY1360,B1520,17,1,CARD,14340.74,False
PAY1361,B1702,15,4,NETBANKING,8027.12,True
PAY1362,B1872,6,1,CARD,5721.08,False
PAY1363,B1199,23,3,CARD,1198.83,False
PAY1364,B1845,14,1,UPI,3147.85,False
PAY1365,B1672,6,1,CARD,6895.9,False
PAY1366,B1598,16,4,CARD,1959.04,False
PAY1367,B1020,13,3,NETBANKING,8150.35,False
PAY1368,B1310,2,2,UPI,7370.22,False
PAY1369,B1587,8,3,NETBANKING,11740.35,False
PAY1370,B1952,11,1,NETBANKING,10237.24,False
PAY1371,B1897,24,2,NETBANKING,7243.26,False
PAY1372,B1652,26,2,CARD,4145.25,False
PAY1373,B1637,20,2,NETBANKING,11176.09,False
PAY1374,B1762,8,4,NETBANKING,10910.07,False
PAY1375,B1899,13,3,UPI,3146.15,False
PAY1376,B1595,10,2,UPI,13806.53,False
PAY1377,B1433,20,3,UPI,1901.67,False
PAY1378,B1370,11,3,UPI,1770.53,False
PAY1379,B1559,4,4,NETBANKING,3622.91,False
PAY1380,B1890,14,2,UPI,13732.45,False
PAY1381,B1077,11,4,CARD,8279.97,False
PAY1382,B1541,5,3,NETBANKING,12031.17,False
PAY1383,B1284,8,3,UPI,4189.8,False
PAY1384,B1647,6,3,NETBANKING,7863.11,False
PAY1385,B1139,10,2,UPI,6016.05,False
PAY1386,B1552,12,4,NETBANKING,12589.6,False
PAY1387,B1997,23,2,UPI,8027.12,True
PAY1388,B1281,18,3,CARD,4413.8,False
PAY1389,B1561,10,4,UPI,3136.04,False
PAY1390,B1257,18,1,NETBANKING,13028.65,False
PAY1391,B1822,22,2,NETBANKING,7545.61,False
PAY1392,B1359,24,1,CARD,8027.12,True
PAY1393,B1439,20,3,NETBANKING,7292.76,False
PAY1394,B1269,7,2,CARD,14606.94,False
PAY1395,B1133,13,2,NETBANKING,12903.74,False
PAY1396,B1745,27,4,NETBANKING,10889.16,False
PAY1397,B1639,25,2,CARD,5066.71,False
PAY1398,B1103,25,1,NETBANKING,3312.42,False
PAY1399,B1765,14,3,NETBANKING,13900.07,False
PAY1400,B1094,2,4,CARD,6923.06,False
PAY1401,B1848,7,3,UPI,4902.58,False
PAY1402,B1728,21,1,CARD,7592.89,False
PAY1403,B1572,2,4,NETBANKING,13849.86,False
PAY1404,B1479,2,4,UPI,6418.94,False
PAY1405,B1779,22,2,UPI,8876.97,False
PAY1406,B1240,22,4,UPI,12241.53,False
PAY1407,B1012,8,1,CARD,6979.86,False
PAY1408,B1146,9,4,UPI,8027.12,True
PAY1409,B1939,23,3,UPI,14923.36,False
PAY1410,B1751,13,4,UPI,14391.99,False
PAY1411,B1600,6,4,NETBANKING,12808.71,False
PAY1412,B1094,2,4,CARD,10637.23,False
PAY1413,B1826,16,2,CARD,5128.12,False
PAY1414,B1292,2,2,NETBANKING,13787.78,False
PAY1415,B1024,23,1,UPI,4857.79,False
PAY1416,B1271,3,2,NETBANKING,12211.33,False
PAY1417,B1504,24,3,NETBANKING,13855.61,False
PAY1418,B1165,2,1,UPI,9442.05,False
PAY1419,B1938,14,4,UPI,12242.79,False
PAY1420,B1761,6,1,CARD,12083.73,False
PAY1421,B1086,2,3,UPI,3704.21,False
PAY1422,B1653,24,1,NETBANKING,10350.94,False
PAY1423,B1645,30,4,NETBANKING,2308.55,False
PAY1424,B1984,24,2,UPI,8109.9,False
