route_name,route_full_name,total_transactions,total_revenue,avg_fare
BOM -> CCU,Mumbai to Kolkata,89,756325.14,8498.04
CCU -> DEL,Kolkata to Delhi,76,598905.61,7880.34
MAA -> BLR,Chennai to Bengaluru,69,556319.01,8062.59
BLR -> BOM,Bengaluru to Mumbai,67,554231.76,8272.12
DEL -> HYD,Delhi to Hyderabad,68,553907.26,8145.7
HYD -> MAA,Hyderabad to Chennai,57,478564.1,8395.86
HYD -> DEL,Hyderabad to Delhi,42,345906.73,8235.87
HYD -> BLR,Hyderabad to Bengaluru,40,334440.16,8361.0
BOM -> DEL,Mumbai to Delhi,40,331464.45,8286.61
HYD -> CCU,Hyderabad to Kolkata,30,266992.47,8899.75
DEL -> CCU,Delhi to Kolkata,27,249091.14,9225.6
BOM -> HYD,Mumbai to Hyderabad,25,235543.12,9421.72
DEL -> BLR,Delhi to Bengaluru,35,199859.18,5710.26
DEL -> BOM,Delhi to Mumbai,26,199124.24,7658.62
BOM -> MAA,Mumbai to Chennai,27,193158.15,7154.01
CCU -> HYD,Kolkata to Hyderabad,23,184443.77,8019.29
CCU -> BOM,Kolkata to Mumbai,26,182948.01,7036.46
MAA -> CCU,Chennai to Kolkata,19,178290.34,9383.7
HYD -> BOM,Hyderabad to Mumbai,24,172841.22,7201.72
BOM -> BLR,Mumbai to Bengaluru,21,162021.62,7715.32
MAA -> BOM,Chennai to Mumbai,19,154610.79,8137.41
BLR -> CCU,Bengaluru to Kolkata,19,152313.04,8016.48
MAA -> DEL,Chennai to Delhi,19,144350.04,7597.37
CCU -> BLR,Kolkata to Bengaluru,17,141714.61,8336.15
CCU -> MAA,Kolkata to Chennai,19,131220.44,6906.34
MAA -> HYD,Chennai to Hyderabad,18,120344.43,6685.8
BLR -> HYD,Bengaluru to Hyderabad,16,118122.18,7382.64
DEL -> MAA,Delhi to Chennai,16,117405.42,7337.84
BLR -> MAA,Bengaluru to Chennai,15,107017.85,7134.52
BLR -> DEL,Bengaluru to Delhi,11,89782.06,8162.01
