route_key,source,source_city,destination,dest_city,route_name,route_full_name
1,CCU,Kolkata,MAA,Chennai,CCU -> MAA,Kolkata to Chennai
2,BOM,Mumbai,CCU,Kolkata,BOM -> CCU,Mumbai to Kolkata
3,MAA,Chennai,BOM,Mumbai,MAA -> BOM,Chennai to Mumbai
4,DEL,Delhi,HYD,Hyderabad,DEL -> HYD,Delhi to Hyderabad
5,BOM,Mumbai,HYD,Hyderabad,BOM -> HYD,Mumbai to Hyderabad
6,BLR,Bengaluru,BOM,Mumbai,BLR -> BOM,Bengaluru to Mumbai
7,DEL,Delhi,BLR,Bengaluru,DEL -> BLR,Delhi to Bengaluru
8,BOM,Mumbai,DEL,Delhi,BOM -> DEL,Mumbai to Delhi
9,DEL,Delhi,MAA,Chennai,DEL -> MAA,Delhi to Chennai
10,DEL,Delhi,BOM,Mumbai,DEL -> BOM,Delhi to Mumbai
11,MAA,Chennai,DEL,Delhi,MAA -> DEL,Chennai to Delhi
12,CCU,Kolkata,DEL,Delhi,CCU -> DEL,Kolkata to Delhi
13,HYD,Hyderabad,DEL,Delhi,HYD -> DEL,Hyderabad to Delhi
14,HYD,Hyderabad,MAA,Chennai,HYD -> MAA,Hyderabad to Chennai
15,HYD,Hyderabad,CCU,Kolkata,HYD -> CCU,Hyderabad to Kolkata
16,BOM,Mumbai,MAA,Chennai,BOM -> MAA,Mumbai to Chennai
17,HYD,Hyderabad,BOM,Mumbai,HYD -> BOM,Hyderabad to Mumbai
18,DEL,Delhi,CCU,Kolkata,DEL -> CCU,Delhi to Kolkata
19,MAA,Chennai,HYD,Hyderabad,MAA -> HYD,Chennai to Hyderabad
20,CCU,Kolkata,HYD,Hyderabad,CCU -> HYD,Kolkata to Hyderabad
21,MAA,Chennai,CCU,Kolkata,MAA -> CCU,Chennai to Kolkata
22,CCU,Kolkata,BLR,Bengaluru,CCU -> BLR,Kolkata to Bengaluru
23,MAA,Chennai,BLR,Bengaluru,MAA -> BLR,Chennai to Bengaluru
24,HYD,Hyderabad,BLR,Bengaluru,HYD -> BLR,Hyderabad to Bengaluru
25,BLR,Bengaluru,CCU,Kolkata,BLR -> CCU,Bengaluru to Kolkata
26,BOM,Mumbai,BLR,Bengaluru,BOM -> BLR,Mumbai to Bengaluru
27,BLR,Bengaluru,MAA,Chennai,BLR -> MAA,Bengaluru to Chennai
28,CCU,Kolkata,BOM,Mumbai,CCU -> BOM,Kolkata to Mumbai
29,BLR,Bengaluru,HYD,Hyderabad,BLR -> HYD,Bengaluru to Hyderabad
30,BLR,Bengaluru,DEL,Delhi,BLR -> DEL,Bengaluru to Delhi
