route_name,age_band,passenger_count
BLR -> BOM,Middle Aged (36-50),6
BLR -> BOM,Senior (65+),18
BLR -> BOM,Senior Adult (51-65),16
BLR -> BOM,Young Adult (18-35),10
BLR -> BOM,Youth (<18),12
BLR -> CCU,Middle Aged (36-50),2
BLR -> CCU,Senior (65+),5
BLR -> CCU,Senior Adult (51-65),4
BLR -> CCU,Young Adult (18-35),5
BLR -> CCU,Youth (<18),6
BLR -> DEL,Middle Aged (36-50),4
BLR -> DEL,Senior (65+),6
BLR -> DEL,Senior Adult (51-65),1
BLR -> DEL,Young Adult (18-35),3
BLR -> DEL,Youth (<18),3
BLR -> HYD,Middle Aged (36-50),1
BLR -> HYD,Senior (65+),4
BLR -> HYD,Senior Adult (51-65),3
BLR -> HYD,Young Adult (18-35),4
BLR -> HYD,Youth (<18),7
BLR -> MAA,Middle Aged (36-50),2
BLR -> MAA,Senior (65+),6
BLR -> MAA,Senior Adult (51-65),1
BLR -> MAA,Young Adult (18-35),2
BLR -> MAA,Youth (<18),6
BOM -> BLR,Middle Aged (36-50),9
BOM -> BLR,Senior (65+),2
BOM -> BLR,Senior Adult (51-65),4
BOM -> BLR,Young Adult (18-35),3
BOM -> BLR,Youth (<18),6
BOM -> CCU,Middle Aged (36-50),9
BOM -> CCU,Senior (65+),27
BOM -> CCU,Senior Adult (51-65),14
BOM -> CCU,Young Adult (18-35),17
BOM -> CCU,Youth (<18),20
BOM -> DEL,Middle Aged (36-50),2
BOM -> DEL,Senior (65+),12
BOM -> DEL,Senior Adult (51-65),7
BOM -> DEL,Young Adult (18-35),3
BOM -> DEL,Youth (<18),12
BOM -> HYD,Middle Aged (36-50),6
BOM -> HYD,Senior (65+),2
BOM -> HYD,Senior Adult (51-65),10
BOM -> HYD,Young Adult (18-35),5
BOM -> HYD,Youth (<18),3
BOM -> MAA,Middle Aged (36-50),7
BOM -> MAA,Senior (65+),9
BOM -> MAA,Senior Adult (51-65),7
BOM -> MAA,Young Adult (18-35),3
BOM -> MAA,Youth (<18),2
CCU -> BLR,Middle Aged (36-50),4
CCU -> BLR,Senior (65+),3
CCU -> BLR,Senior Adult (51-65),1
CCU -> BLR,Young Adult (18-35),5
CCU -> BLR,Youth (<18),8
CCU -> BOM,Middle Aged (36-50),6
CCU -> BOM,Senior (65+),8
CCU -> BOM,Senior Adult (51-65),7
CCU -> BOM,Young Adult (18-35),8
CCU -> BOM,Youth (<18),5
CCU -> DEL,Middle Aged (36-50),13
CCU -> DEL,Senior (65+),13
CCU -> DEL,Senior Adult (51-65),18
CCU -> DEL,Young Adult (18-35),19
CCU -> DEL,Youth (<18),10
CCU -> HYD,Middle Aged (36-50),5
CCU -> HYD,Senior (65+),1
CCU -> HYD,Senior Adult (51-65),5
CCU -> HYD,Young Adult (18-35),6
CCU -> HYD,Youth (<18),4
CCU -> MAA,Middle Aged (36-50),1
CCU -> MAA,Senior (65+),3
CCU -> MAA,Senior Adult (51-65),8
CCU -> MAA,Young Adult (18-35),7
CCU -> MAA,Youth (<18),5
DEL -> BLR,Middle Aged (36-50),2
DEL -> BLR,Senior (65+),7
DEL -> BLR,Senior Adult (51-65),6
DEL -> BLR,Young Adult (18-35),7
DEL -> BLR,Youth (<18),6
DEL -> BOM,Middle Aged (36-50),6
DEL -> BOM,Senior (65+),4
DEL -> BOM,Senior Adult (51-65),8
DEL -> BOM,Young Adult (18-35),2
DEL -> BOM,Youth (<18),9
DEL -> CCU,Middle Aged (36-50),5
DEL -> CCU,Senior (65+),4
DEL -> CCU,Senior Adult (51-65),4
DEL -> CCU,Young Adult (18-35),6
DEL -> CCU,Youth (<18),5
DEL -> HYD,Middle Aged (36-50),12
DEL -> HYD,Senior (65+),14
DEL -> HYD,Senior Adult (51-65),6
DEL -> HYD,Young Adult (18-35),11
DEL -> HYD,Youth (<18),12
DEL -> MAA,Middle Aged (36-50),5
DEL -> MAA,Senior (65+),6
DEL -> MAA,Senior Adult (51-65),4
DEL -> MAA,Young Adult (18-35),3
DEL -> MAA,Youth (<18),6
HYD -> BLR,Middle Aged (36-50),5
HYD -> BLR,Senior (65+),7
HYD -> BLR,Senior Adult (51-65),2
HYD -> BLR,Young Adult (18-35),5
HYD -> BLR,Youth (<18),7
HYD -> BOM,Middle Aged (36-50),2
HYD -> BOM,Senior (65+),4
HYD -> BOM,Senior Adult (51-65),5
HYD -> BOM,Young Adult (18-35),8
HYD -> BOM,Youth (<18),7
HYD -> CCU,Middle Aged (36-50),5
HYD -> CCU,Senior (65+),7
HYD -> CCU,Senior Adult (51-65),5
HYD -> CCU,Young Adult (18-35),6
HYD -> CCU,Youth (<18),3
HYD -> DEL,Middle Aged (36-50),1
HYD -> DEL,Senior (65+),6
HYD -> DEL,Senior Adult (51-65),13
HYD -> DEL,Young Adult (18-35),12
HYD -> DEL,Youth (<18),9
HYD -> MAA,Middle Aged (36-50),12
HYD -> MAA,Senior (65+),11
HYD -> MAA,Senior Adult (51-65),11
