route_name,route_full_name,flight_count,avg_duration_min,min_duration_min,max_duration_min
BOM -> CCU,Mumbai to Kolkata,90,169.51,33.0,293.0
CCU -> DEL,Kolkata to Delhi,72,153.61,32.0,298.0
MAA -> BLR,Chennai to Bengaluru,65,172.82,34.0,300.0
BLR -> BOM,Bengaluru to Mumbai,60,147.73,35.0,293.0
HYD -> MAA,Hyderabad to Chennai,57,152.81,35.0,298.0
DEL -> HYD,Delhi to Hyderabad,54,174.76,35.0,290.0
HYD -> DEL,Hyderabad to Delhi,42,185.36,35.0,291.0
BOM -> DEL,Mumbai to Delhi,39,153.82,35.0,290.0
CCU -> BOM,Kolkata to Mumbai,33,163.97,35.0,287.0
DEL -> BLR,Delhi to Bengaluru,29,170.03,33.0,270.0
DEL -> BOM,Delhi to Mumbai,28,178.11,43.0,286.0
HYD -> BOM,Hyderabad to Mumbai,27,155.48,36.0,300.0
BOM -> MAA,Mumbai to Chennai,27,183.41,33.0,297.0
BOM -> HYD,Mumbai to Hyderabad,26,180.85,54.0,288.0
MAA -> DEL,Chennai to Delhi,26,155.96,35.0,286.0
HYD -> CCU,Hyderabad to Kolkata,26,167.15,39.0,295.0
DEL -> CCU,Delhi to Kolkata,26,151.73,30.0,300.0
HYD -> BLR,Hyderabad to Bengaluru,26,162.77,32.0,299.0
MAA -> CCU,Chennai to Kolkata,24,158.54,42.0,300.0
CCU -> MAA,Kolkata to Chennai,24,171.29,32.0,298.0
BOM -> BLR,Mumbai to Bengaluru,23,176.52,56.0,293.0
DEL -> MAA,Delhi to Chennai,23,178.78,72.0,288.0
BLR -> CCU,Bengaluru to Kolkata,21,128.52,49.0,282.0
CCU -> HYD,Kolkata to Hyderabad,21,152.24,45.0,275.0
MAA -> BOM,Chennai to Mumbai,21,176.76,41.0,299.0
MAA -> HYD,Chennai to Hyderabad,21,160.0,37.0,286.0
CCU -> BLR,Kolkata to Bengaluru,20,167.35,33.0,291.0
BLR -> DEL,Bengaluru to Delhi,19,156.95,30.0,293.0
BLR -> HYD,Bengaluru to Hyderabad,19,155.68,72.0,245.0
BLR -> MAA,Bengaluru to Chennai,16,187.31,79.0,277.0
