flight_instance_id,flight_id,airline_key,route_key,departure_date_key,departure_time,arrival_time,departure_hour,duration_minutes,route_mean_duration,route_std_duration,is_overnight,duration_anomaly_flag,is_duration_outlier
1,SJ010,3,1,20260420,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,23,174.0,171.29166666666666,79.96112053430373,False,False,False
2,AI155,1,2,20260420,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,23,108.0,169.51111111111112,72.0207904509422,False,False,False
3,UK094,4,2,20260420,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,23,105.0,169.51111111111112,72.0207904509422,False,False,False
4,AI245,1,2,20260420,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,23,156.0,169.51111111111112,72.0207904509422,False,False,False
5,AI192,1,3,20260420,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,23,299.0,176.76190476190476,75.05258474023714,False,False,False
6,SJ158,3,4,20260420,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,23,139.0,174.75925925925927,75.97192509877934,False,False,False
7,6F196,2,1,20260420,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,23,103.0,171.29166666666666,79.96112053430373,False,False,False
8,AI080,1,5,20260420,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,23,92.0,180.84615384615384,76.7315800998219,False,False,False
9,6F025,2,6,20260420,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,23,55.0,147.73333333333332,73.89407596875976,False,False,False
10,6F251,2,7,20260420,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,22,41.0,170.0344827586207,73.42658274894177,False,False,False
11,AI137,1,8,20260420,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,22,148.0,153.82051282051282,75.2759386296325,False,False,False
12,6F026,2,2,20260420,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,22,267.0,169.51111111111112,72.0207904509422,False,False,False
13,UK167,4,9,20260420,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,22,181.0,178.7826086956522,69.77232879596788,False,False,False
14,UK027,4,2,20260420,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,22,141.0,169.51111111111112,72.0207904509422,False,False,False
15,AI069,1,10,20260420,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,22,226.0,178.10714285714286,82.9878792067739,False,False,False
16,AI058,1,2,20260420,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,22,98.0,169.51111111111112,72.0207904509422,False,False,False
17,AI140,1,8,20260420,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,22,223.0,153.82051282051282,75.2759386296325,False,False,False
