source,destination,route_name,total_flights,traffic_share_pct
BOM,CCU,BOM -> CCU,90,8.96
CCU,DEL,CCU -> DEL,72,7.16
MAA,BLR,MAA -> BLR,65,6.47
BLR,BOM,BLR -> BOM,60,5.97
HYD,MAA,HYD -> MAA,57,5.67
DEL,HYD,DEL -> HYD,54,5.37
HYD,DEL,HYD -> DEL,42,4.18
BOM,DEL,BOM -> DEL,39,3.88
CCU,BOM,CCU -> BOM,33,3.28
DEL,BLR,DEL -> BLR,29,2.89
DEL,BOM,DEL -> BOM,28,2.79
HYD,BOM,HYD -> BOM,27,2.69
BOM,MAA,BOM -> MAA,27,2.69
BOM,HYD,BOM -> HYD,26,2.59
MAA,DEL,MAA -> DEL,26,2.59
HYD,CCU,HYD -> CCU,26,2.59
DEL,CCU,DEL -> CCU,26,2.59
HYD,BLR,HYD -> BLR,26,2.59
MAA,CCU,MAA -> CCU,24,2.39
CCU,MAA,CCU -> MAA,24,2.39
BOM,BLR,BOM -> BLR,23,2.29
DEL,MAA,DEL -> MAA,23,2.29
BLR,CCU,BLR -> CCU,21,2.09
CCU,HYD,CCU -> HYD,21,2.09
MAA,BOM,MAA -> BOM,21,2.09
MAA,HYD,MAA -> HYD,21,2.09
CCU,BLR,CCU -> BLR,20,1.99
BLR,DEL,BLR -> DEL,19,1.89
BLR,HYD,BLR -> HYD,19,1.89
BLR,MAA,BLR -> MAA,16,1.59
