flight_id,airline_code,airline_name,route_name,departure_time,arrival_time,duration_minutes,route_mean_duration,ml_is_anomaly,ml_anomaly_score
SJ010,SJ,SpiceJet,CCU -> MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,171.29166666666666,0,0.3757
AI155,AI,Air India,BOM -> CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,169.51111111111112,0,0.2557
UK094,UK,Vistara,BOM -> CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,169.51111111111112,0,0.2471
AI245,AI,Air India,BOM -> CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,169.51111111111112,0,0.3333
AI192,AI,Air India,MAA -> BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,176.76190476190476,0,0.6339
SJ158,SJ,SpiceJet,DEL -> HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,174.75925925925927,0,0.3019
6F196,6E,IndiGo,CCU -> MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,171.29166666666666,0,0.2469
AI080,AI,Air India,BOM -> HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,180.84615384615384,0,0.395
6F025,6E,IndiGo,BLR -> BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,147.73333333333332,0,0.5051
6F251,6E,IndiGo,DEL -> BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,170.0344827586207,0,0.597
AI137,AI,Air India,BOM -> DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,153.82051282051282,0,0.3376
6F026,6E,IndiGo,BOM -> CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,169.51111111111112,0,0.2824
UK167,UK,Vistara,DEL -> MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,178.7826086956522,0,0.3849
UK027,UK,Vistara,BOM -> CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,169.51111111111112,0,0.236
AI069,AI,Air India,DEL -> BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,178.10714285714286,0,0.2584
AI058,AI,Air India,BOM -> CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,169.51111111111112,0,0.1458
AI140,AI,Air India,BOM -> DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,153.82051282051282,0,0.2132
SJ239,SJ,SpiceJet,BOM -> CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,169.51111111111112,0,0.1561
6F099,6E,IndiGo,MAA -> DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,155.96153846153845,0,0.5107
AI048,AI,Air India,CCU -> DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,153.61111111111111,0,0.2153
SJ112,SJ,SpiceJet,HYD -> DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,185.35714285714286,0,0.4114
6F164,6E,IndiGo,BLR -> BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,147.73333333333332,0,0.5647
UK021,UK,Vistara,HYD -> MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,152.80701754385964,0,0.191
SJ172,SJ,SpiceJet,CCU -> DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,153.61111111111111,0,0.1633
AI060,AI,Air India,DEL -> HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,174.75925925925927,0,0.1714
SJ205,SJ,SpiceJet,HYD -> CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,167.15384615384616,0,0.3706
SJ093,SJ,SpiceJet,BLR -> BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,147.73333333333332,0,0.361
6F195,6E,IndiGo,CCU -> DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,153.61111111111111,0,0.259
UK003,UK,Vistara,HYD -> DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,185.35714285714286,0,0.5523
UK026,UK,Vistara,HYD -> MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,152.80701754385964,0,0.2139
6F174,6E,IndiGo,DEL -> HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,174.75925925925927,0,0.6311
UK067,UK,Vistara,BOM -> CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,169.51111111111112,0,0.1146
SJ149,SJ,SpiceJet,HYD -> MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.0,152.80701754385964,0,0.172
6F213,6E,IndiGo,BLR -> BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,147.73333333333332,0,0.2973
UK200,UK,Vistara,CCU -> DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,153.61111111111111,0,0.1222
SJ214,SJ,SpiceJet,BOM -> MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,183.40740740740742,0,0.4203
SJ047,SJ,SpiceJet,HYD -> BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,155.4814814814815,0,0.3854
AI179,AI,Air India,HYD -> BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,155.4814814814815,0,0.3369
SJ153,SJ,SpiceJet,DEL -> CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,151.73076923076923,0,0.1436
6F236,6E,IndiGo,BOM -> DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,153.82051282051282,0,0.1315
UK059,UK,Vistara,HYD -> MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,152.80701754385964,0,0.1119
SJ001,SJ,SpiceJet,BOM -> MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,183.40740740740742,0,0.4618
