route_name,route_full_name,total_bookings,confirmed_bookings,cancelled_bookings,pending_bookings,cancellation_rate_pct
BOM -> CCU,Mumbai to Kolkata,87,36,29,22,33.33
CCU -> DEL,Kolkata to Delhi,73,22,27,24,36.99
MAA -> BLR,Chennai to Bengaluru,64,17,17,30,26.56
BLR -> BOM,Bengaluru to Mumbai,62,19,23,20,37.1
HYD -> MAA,Hyderabad to Chennai,57,16,16,25,28.07
DEL -> HYD,Delhi to Hyderabad,55,18,15,22,27.27
HYD -> DEL,Hyderabad to Delhi,41,15,11,15,26.83
BOM -> DEL,Mumbai to Delhi,36,15,13,8,36.11
CCU -> BOM,Kolkata to Mumbai,34,8,9,17,26.47
DEL -> BOM,Delhi to Mumbai,29,9,12,8,41.38
DEL -> BLR,Delhi to Bengaluru,28,10,10,8,35.71
BOM -> MAA,Mumbai to Chennai,28,7,6,15,21.43
BOM -> HYD,Mumbai to Hyderabad,26,10,10,6,38.46
HYD -> BOM,Hyderabad to Mumbai,26,14,8,4,30.77
HYD -> CCU,Hyderabad to Kolkata,26,11,4,11,15.38
HYD -> BLR,Hyderabad to Bengaluru,26,7,10,9,38.46
CCU -> MAA,Kolkata to Chennai,24,9,6,9,25.0
DEL -> MAA,Delhi to Chennai,24,7,6,11,25.0
MAA -> CCU,Chennai to Kolkata,24,7,7,10,29.17
MAA -> DEL,Chennai to Delhi,24,12,2,10,8.33
BOM -> BLR,Mumbai to Bengaluru,24,3,8,13,33.33
DEL -> CCU,Delhi to Kolkata,24,5,11,8,45.83
BLR -> CCU,Bengaluru to Kolkata,22,5,10,7,45.45
CCU -> BLR,Kolkata to Bengaluru,21,4,9,8,42.86
MAA -> BOM,Chennai to Mumbai,21,3,7,11,33.33
CCU -> HYD,Kolkata to Hyderabad,21,7,7,7,33.33
MAA -> HYD,Chennai to Hyderabad,20,3,8,9,40.0
BLR -> HYD,Bengaluru to Hyderabad,19,9,5,5,26.32
BLR -> DEL,Bengaluru to Delhi,17,6,3,8,17.65
BLR -> MAA,Bengaluru to Chennai,17,6,5,6,29.41
